importação;transformar para polígono?;comunidade associada;name;description;folder;type;geometry;
;;;Crescer e Viver - CANITÁ ( Comp. do Alemão);"Temos a ONG EDUCAP
Creche Justino Russollino
Escola Henrique Fóreis
Quadra da Canita
Padarias, Fármacia, Mercearia";PCU  RJ - jul 2010;point;[u'-43.28106490633522,-22.86025696633113,0'];
;;;Desenvolver - SALGUEIRO (Tijuca);"Morro do Salgueiro


SALGUEIRO






100 ANOS DE CULTURA NEGRA






Álvaro Silva de Souza
Denise Vieira
Agentes Ambientais Comunidade do Salgueiro
Secretaria Municipal de Meio Ambiente
Prefeitura do Rio de Janeiro










BREVE HISTORIA

	A ocupação do Morro do Salgueiro se deu no ano de 1885, á exatos 122 anos.

	Chegaram do Vale da Paraíba, Miracema, Itaperuna, Santo Antonio de Pádua, Cataguases, Vassouras e Sapucaia os primeiros habitantes do Morro dos Trapicheiros, hoje Morro do Salgueiro.

	Também em 1885, com a fuga de alguns escravos das propriedades existentes no Alto da Boa Vista, para os maciços, morros, foram se formando na parte alta alguns quilombos. 

	A origem do nome SALGUEIRO veio de um nobre português de nome Domingos Alves Salgueiro, proprietário de varias terras nos maciços da Tijuca e de uma fábrica de conservas na rua dos Araújos. A partir daí, boa parte do morro passou a ser conhecida como Salgueiro. 

	Bem nos primórdios do século XIX, começaram o incentivo na plantação de café, tanto isso é verdade que a Floresta da Tijuca foi quase toda desmatada para o plantio do café, e com isso causou na época declínio ecológico no bairro.

	No Morro do Salgueiro foram incentivados também nesta mesma época outros tipos de plantações, além do café, tais como hortaliças e cana de açúcar.

	Em 1900 houve a imigração de varias famílias para o Morro do Salgueiro, aumentando assim, juntamente com os escravos, a família salgueirense. 

	Já no século XX, a Comunidade foi evoluindo com características culturais totalmente influenciadas pelos costumes africanos, já que 90% da população local era de negros. 

	Depois a Segunda Guerra Mundial, houve um avanço muito grande na Comunidade, tanto na parte de habitação como na parte cultural. Começou a sobressair à dança e o canto de diversas tribos africanas. 

	A Comunidade do Salgueiro sobressaiu-se com o samba, que é uma mistura de cultura tribal, por exemplo. Os negros, que eram descendentes de Angola e poligéria, tinham um ritmo merengado. Já os descendentes do Norte da Europa tinham um ritmo mais instrumental, como era o caso dos zulus. Aperfeiçoando tudo isso surge um ritmo que deu origem à batucada, o blues, e o samba.  

	Domingos Alves Salgueiro acabou perdendo sua propriedades na comunidade por não pagas impostos ao Governo.

	A Comunidade continuo a expandir-se. Os portei eram realizados por senhoras da Comunidade, chamadas parteiras.

	O Senhor Djalma de Oliveira foi fundador de Associação de Moradores do Morro do Salgueiro. Segundo seu depoimento nessa época, no final do ano de 1963, tratava-se apenas de uma “Junta Governativa” da qual o Sr. Djalma fazia parte.

	Já existia o catolicismo, praticado por algumas senhoras da Comunidade, que se dirigiam à parte alta do Morro em um lugar chamado “Anjo da Guarda”, uma espécie de altar de pedras, onde as mesmas reuniam-se para rezar o terço aos domingos. 

	Existiam também outras religiões de culturas africanas na Comunidade, mas, após uma enchente, ocasionada por deslizamento de terras e lixos das encostas do Morro em 1967, ocasionando diversa mortes, o Senhor Djalma, conhecido na época como “Djalma Prefeito”, deu início a procissão de São Sebastião (Santo Padroeiro da Cidade do Rio de Janeiro). A imagem do Santo foi cedida pela Igreja de Santo Afonso e na primeira festa em homenagem ao santo, passou a ser Padroeiro e Protetor da Comunidade. A imagem foi levada ao aeroporto e trazida para a Comunidade de helicóptero, onde uma banda de músicos já a aguardava a beira do campo de futebol, para dar início a procissão.

	A banda de músicos era regida pelo Tenente Irineu Veríssimo, músico da banda da Polícia Militar.

	O Sr. Djalma esteve no comando da procissão ate o ano de 1992, quando precisou se afastar por motivo de doença, passando esta então a ficar sobre os cuidados do Grupo Caeba.  

	Em 1951 foi fundada a “Casa da Americana”, nome dado em homenagem a uma mulher norte americana de um Grupo de Voluntários de Paz, que veio ao Brasil para trabalhar em Campanhas de vacinas. O então Governador, Dom Carlos Lacerda, mandou construir uma casa a beira do campo de futebol, bem no centro da comunidade, para funcionar o serviço de alto falantes, um telefone público comunitário, campanha de vacinas, organizações de eventos esportivos, distribuição de correspondência, etc.

	Em 1952, para comemorar mais uma data festiva, foi dado inicio a uma corrida rústica que aconteceria em todos os feriados de 7 de setembro. Era uma corrida em que todos os participantes eram da comunidade. A largada era no campo em direção à Rua Francisco Graça. Depois passavam pela Rua dos Junquilhos, Rua dos Araújos, Rua Valparaíso e outras ruas adjacentes, ate chegar ao Sumaré, onde os corredores começavam uma descida em terreno íngreme ate chegar novamente ao campo. 

	Em 1955 se inicio a Folia dos Reis no Salgueiro. Era uma seita religiosa que explicava o início do mundo, demonstrando como foi o passado sem a ganância. No início, eram apenas 12 componentes na comunidade. A Folia de Reis era comandada pelo Senhor José Catolino, e deixou de se apresentar na comunidade no ano de 1993, 38 anos após seu início, por causa de ausência de alguns componentes. 

	O 3 de abril de 1953, com a fusão de três blocos carnavalescos existentes na comunidade, surgiu a Escola de Samba Acadêmicos do Salgueiro. 

	Em 1957 teve início o concurso de Rainha da Primavera, organizado pelo Sr. Djalma, em que participavam apenas meninas da comunidade que fossem virgens.

	Em 1969 inicio-se uma homenagem as mães no mês de maio com a escolha da Mãe do Ano, além dum bingo com brindes especiais para as mães, assim como distribuição de rosas. 

	Os troféus dos campeonatos, prêmios oferecidos em gincanas, bingo das mães e outros eventos festivos para crianças, eram cedidos pelos comerciários da Tijuca. 

	Em 1970 houve a criação do Plantão Félix Pacheco na comunidade, para que os moradores pudessem tirar documentos de identidade e títulos de eleitor. 

	Esse plantão funcionava no prédio da Fundação Leão XIII da comunidade duas vezes por semana. 

	Ainda no Governo de Carlos Lacerda, atendendo a pedidos de alguns moradores, houve a ligação de água potável e um reservatório de água para a comunidade. 

	No final da década de 70, em homenagem a alguns moradores ilustres ou mais idosos, foram surgindo os nomes das ruas, becos e praças da comunidade. 

	Na gestão do Sr Djalma Oliveira, como Presidenta da Associação de Moradores, houveram também a organização de alguns mutirões para obras de benefícios para a comunidade, como caixas de água, cisternas, quadras de esportes, reforma de algumas moradias prejudicadas pelas chuvas, etc.

	Em 1980, em visita ao Brasil, Sua Santidade o Papa João Paulo II, hospedado na casa do Cardeal Arcebispo do Rio, dom Eugénio Sales, no Sumaré, abençoa a comunidade do Morro do Salgueiro. 

	Em 1982 se desenvolve a instalação da rede elétrica domiciliar na comunidade. 

	Em 1985 comemorou-se 100 anos da Comunidade do Morro do Salgueiro. O então Presidente da Associação de Moradores, o Senhor José Santos escreveu um livro intitulado “Salgueiro, 100 anos de existência”.

Em 1988 se dá inicio ao Projeto Mutirão Reflorestamento do Morro do Salgueiro, como atividade da Secretaria de Desenvolvimento Social.

Em 1995 comemorou-se 110 anos da existência da Comunidade de Salgueiro. Coincidentemente também era o 300o aniversário da morte de Zumbi dos Palmares, e o Salgueiro, a través de sua escola de samba, tenta expressar todo seu sentimento cultural, apresentando temas negros nos seus carnavais. 

	Em 1996 se dá a implementação do Projeto Favela Bairro por parte da Secretara Municipal de Habitação, gerando emprego para grande parte da comunidade. 

	Em 1998 se retorna ao Projeto Mutirão Reflorestamento, agora sobre a direção da secretara Municipal de Meio Ambiente. 

	Após a implantação do Projeto Favela Bairro, roam surgindo na comunidade outros projetos da Prefeitura da Cidade do Rio de Janeiro, como o de Gari Comunitário, Agentes de Pouso, Posto de orientação urbanística e social SMH e Agentes Ambientais. 





Informações cedidas por:
	Sr. Djalma Oliveira ( Ex-presidente da Associação Pró-Melhoramentos do Morro do Salgueiro)  
	 Dona Euzébia ( moradora mais antiga da comunidade )


*Informações obtidas através do contato com moradores e com o Jornalista Gilberto Magalhães";PCU  RJ - jul 2010;point;[u'-43.22627346132207,-22.93023464605658,0'];
;;;Em Construção - V. CRUZEIRO (Penha);Mapa falante;PCU  RJ - jul 2010;point;[u'-43.28038624904087,-22.84814358725885,0'];
;;;Estrelinha Dourada - BANCÁRIOS (Ilha do Gov.);"1.Se chama bancácarios porque era o local dos funcionarios do banco do brasil, pois os funcionaris trabalhavam e moravam por isso esse nome.

2.a associação trabalha com os moradosres em um conjunto de ajuda doando cestas-básicas,brinquedos,roupas,etc.

3.tem o projeto come livro para ajudar crianças.

4.distribuição de preservativos informando aos jovesns doenças sexualmente transmisivel,hiv,tuberculose,etc.

5.Combate a dengue informações e prevenções;lixo reciclável,etc.

6.É a 2 associação mais antiga da ilha do governado desde a compania de bonder.

7.Bancários já foi considerável um bairro nobre por visita de muitos estrangeiros e artistas que se banhavam na praia quando era limpa.
muitas pessoas ainda houvem falar sobre o Seu João Miquemei por montar o 1 bar mais conhecido por ter cerestas,etc.Um homem que marcou história também foi seu zé da amendueira que ajudou muito seu miqueimei a cuidar da praia quando ainda existia o mangue.
a ilha é constituida por 24 praias poluidas mais ainda sim,com belas paissagens.
Seu miqueimei foi 1 dos responsáveis pela linha de onibus 326 bancários castelo.Com isso o bairro começou a crescer e ser devastado por favelas com isso contitui-se favelas.";PCU  RJ - jul 2010;point;[u'-43.1864541937266,-22.78587526770389,0'];
;;;Juventude Feliz - PRAIA DO ROSA (Ilha do Gov.);;PCU  RJ - jul 2010;point;[u'-43.18769974391722,-22.79461194452679,0'];
;;;Mobilização - Pq. HORÁCIO (S. Cristóvão);;PCU  RJ - jul 2010;point;[u'-43.2380029475935,-22.89126635024673,0'];
;;;Movimento é Vida - MANGUINHOS (Higienópolis);;PCU  RJ - jul 2010;point;[u'-43.2576074981968,-22.87285459718809,0'];
;;;O Futuro é Agora - BOREL (Tijuca);"o gal o futuro é agora fica na comunidade do borel e da indiana.
É composto por lideranças do psf,assossiação de moradores,jocum,ciep,centro de cidadania,etc.";PCU  RJ - jul 2010;point;[u'-43.2547447059472,-22.93898444795384,0'];
;;;Palavra e Ação - Pq. DAS MISSÕES (Cordovil);;PCU  RJ - jul 2010;point;[u'-43.28469804204537,-22.82163589505786,0'];
;;;Rede Rotas - N. HOLANDA (Maré);"Digaí Mare
Observatório de Favelas 
Creche Comunitaria Nova Holanda
Redes de Desenvolvimento da Maré
CRAS Nelson Mandela
RPE Rede de Protecao ao Educando
Instituto Vida Real";PCU  RJ - jul 2010;point;[u'-43.24996880251286,-22.85603874643017,0'];
;;;Renovação - TURANO (Tijuca);"Comunidade do Turano 
Rua União vai ate Rua do pedacinho do céu";PCU  RJ - jul 2010;point;[u'-43.21570862929696,-22.92570417017428,0'];
;;;República Imperial - COMPLEXO DO CAJU (Caju);Complexos do Caju;PCU  RJ - jul 2010;point;[u'-43.22488024922404,-22.86943320388055,0'];
;;;Sempre Unidos 1 - MACACOS (V. Isabel);Àrea de atuação Parque Vila Isabel e Pau da Bandeira é uma área que concentra mais ou menos 10 mil moradores e 5 mil familias.;PCU  RJ - jul 2010;point;[u'-43.25818391547819,-22.91373983551736,0'];
;;;Sempre Unidos 2 - MACACOS (V. Isabel);;PCU  RJ - jul 2010;point;[u'-43.25159288662108,-22.90742135694367,0'];
;;;Sonhos - JURAMENTO (V. Cosmos);"comunidade do Juramento
 
 É constituido pela instituição comunitária de Vicente de carvalho.";PCU  RJ - jul 2010;point;[u'-43.3172583820586,-22.8584317919462,0'];
;;;Taus - DENDÊ (Ilha do Gov.);area de atuaçao morro do dende;PCU  RJ - jul 2010;point;[u'-43.1857445151068,-22.80136390066805,0'];
;;;Tijuaçu - TIJUAÇU e MATAMACHADO (Alto da B. Vista);;PCU  RJ - jul 2010;point;[u'-43.28384154347055,-22.97584904919243,0'];
;;;Transformando a Minha Vida - MORRO DO ADEUS (Comp. do Alemão);"O GAL TRANSFORMANDO A MINHA VIDA , está localizado no Morro Do Adeus - Complexo do Alemão. 
O Morro de Bonsucesso, sinalizado no Mapa,fez fuzão com a Associação do Morro do Adeus no ano de 2005. Essa fusão se deu, graças ao atendimento dispensado pela Associação do Morro do Adeus ao Morro de Bonsucesso. Que, não tendo um local adequado para seu funcionamento, resolveu unir. E assim, e a Comunidade passou a ser uma só.
A população em 1980, era em sua maioria, nordestina.
As instituições em sua moioria são Igrejas Evangelicas. (10)
 Há uma única Igreja Católica que está localizada na Rua Engenheiro Manuel Segurado.
Centro Espírita são, entre 3 e 5 no total.";PCU  RJ - jul 2010;point;[u'-43.26282454116521,-22.86385499019635,0'];
;;;Transformando pelo Esporte - VILA S. PEDRO (Bonsucesso);"Vila São Pedro- É uma comunidade situada em Bonsucesso entre a Rua Uranos e a Av. dos Democáticos tem como referência a saída 7 da linha amarela,é uma comunidade onde não há muitos recursos ou projetos desenvolvidos para trazer benefícios aos jovens,crianças e idosos,pouca iluminação e caso de abandono por conta do governo e representates do mesmo, é uma comunidade amigável (passifica) onde não há muitos conflitos por parte do tráfico por ser uma favela pequena.
Somos carentes de locais para diversão tais como: Lonas culturais,Pracinhas,rádios comunitárias,locais seguros para momentos de lazer etc...

► IASESPE é uma instituição não governamental sem ajuda religiosa,filantrófica ou politico-partidária, onde por meio de palestras e projetos procura atender as necessidades mais próximas das pessoas que residem na Vila são Pedro e adjacências.Recentemente trqabalho com reforços escolar,trabalhos artesanais,projeto 2º tempo,palestras sobre TB HIV DST's e AIDS, distribuição de preservativos 
O seu trabalho comunitário abrange a Vila São pedro,um pedaço da comunidade CAH e a comunidade de Manguinhos 

►IASESPE-instituto de ação social Esporte e Educação
►Centros espíritas
►Grupo de mães
►Grupo teatral
►Grupo de jovens
►Igreja Pentecostal";PCU  RJ - jul 2010;point;[u'-43.253083267236,-22.86229710861673,0'];
;;;União - ANDARAÍ (V. Isabel);;PCU  RJ - jul 2010;point;[u'-43.26003416498077,-22.92544549972952,0'];
;;;Vida - NOVA BRASÍLIA (Comp. do Alemão);"Este grupo atuará na comunidade Nova Brasília do Complexo do Alemão.
Este grupo é composto das seguintes instituições:
Associação Parque Everest,Igreja Fonte Eterna,Projeto Mulheres da Paz,Ong Terra da Conquista,Igreja Assembléia de Deus Nova Filadélfia,Posso Crer no Amanhã,Vila Olímpica Carlos Castilho,PSF nova Brasília e Ciep Theófilo de Souza Pinto.";PCU  RJ - jul 2010;point;[u'-43.28018756610044,-22.87342074115102,0'];
;;;Gal Viver Melhor;;PCU  RJ - jul 2010;point;[u'-43.29664392134773,-22.846550777325,0'];
;;;Vivendo e Aprendendo - URUBU (Pilares);"Morro do Urubus, esta localizado nos bairros de pilares, tomaz coelho,  piedade,abolição,engenho da rainha na zona norte, a origen do nome do morro do urubu, dizem que antigamente existia criação de cabra e cabritos, quando eles caiam de cima do morro viravan comda de urubus .
OBS: após a remoção por conta das chuvas de 2010 o GAL vai redefinir a sua área de atuação.";PCU  RJ - jul 2010;point;[u'-43.30381902109914,-22.87650153616219,0'];
;;;Estrela Dalva - ROCINHA (Rocinha);;PCU  RJ - jul 2010;point;[u'-43.24490115481505,-22.98951718559553,0'];
;;;Mosaico - PRAZERES (Sta. Teresa);"Morro dos Prazeres.

 Morro dos Prazeres, muito conhecido pela sua bela vista e também por  está localizado  em um dos mais belo bairro da cidade do Rio de Janeiro (Santa-Teresa). Está comunidade é composta por pessoas de varios estados do Brasil em especial do Nosdeste. Tem varias atividade algumas areas de lazer, uma linda casa cultura- Casarão dos prazeres uma associção atuante variso grupos que trabalha para melhora a qualidade de vida de todos que desfruta desta comunidade.
Os moradores mais antigos falam que o nome PREZERES  foi dado a comunidade por causa de uma capela que tinha na entrada principal do morro, cuja  a santa era chamada Prazeres, já outros dizem  que é por causa da sua vista paras os quatros lados da cidade do Rio de Janeiro .";PCU  RJ - jul 2010;point;[u'-43.19206112053596,-22.92414320180331,0'];
;;;Área de Abrangência do GAL  Vitrine de Talentos;Área de Abrangência do GAL  Vitrine de Talentos;PCU  RJ - jul 2010;polys;[u'-43.699409,-22.969299,0', u'-43.699493,-22.971077,0', u'-43.702152,-22.97246,0', u'-43.704258,-22.973764,0', u'-43.70546,-22.974476,0', u'-43.7043,-22.974989,0', u'-43.702412,-22.975424,0', u'-43.700439,-22.9757,0', u'-43.698032,-22.976015,0', u'-43.696232,-22.97653,0', u'-43.695629,-22.97653,0', u'-43.695244,-22.975859,0', u'-43.695629,-22.975582,0', u'-43.69529,-22.974632,0', u'-43.69503,-22.973804,0', u'-43.695374,-22.972855,0', u'-43.69619,-22.972382,0', u'-43.696835,-22.97163,0', u'-43.697605,-22.9708,0', u'-43.69825,-22.970287,0', u'-43.698463,-22.969971,0', u'-43.698593,-22.969339,0', u'-43.699409,-22.969299,0'];
