name;description;folder;type;geometry
"";"Praça Ageu<br>Houve reforma sem manutenção, esta destruida<br>Tem quadra de grama sintetica toda esburacada";"Cidade de Deus - Mapa PCU";"point";"[u'-43.3607763826483,-22.95088606676512,0']"
"";"Praça Quirino";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36240119127348,-22.95004971908914,0']"
"";"Praça Demétrio<br>Abandonada pelo o Poder Publico";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36161467512735,-22.94893642059502,0']"
"";"Praça Adão<br>Praça recentemente reformada mas, nao acabada a obra";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36119535807137,-22.94990822972864,0']"
"";"Campo de terra<br>Campo de futebol de terra";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36358186964301,-22.94859917781886,0']"
"";"Quadra de cimento<br>Quadra Poliesportiva de cimento";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36339551329309,-22.94824470645448,0']"
"";"Praça Cleopatra";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36227164098768,-22.94807732637637,0']"
"";"Praçã Jaco<br>Terreno sem manutenção";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36278129337014,-22.9465782871815,0']"
"Clube Jacarepagua";"Clube Jacarepagua<br>Clube onde tem os bailes e apresençoes de cantores e etc.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35876174381221,-22.95058793174045,0']"
"";"Sacolão<br>Vende verduras, legumes ,frutas e etc";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36229021243616,-22.94906996802679,0']"
"";"Salao Unisex<br>Salão de Cabeleireiro para ambos os sexos";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36107119439763,-22.94786091329865,0']"
"";"Barbearia<br>Barbearia contruida no leito do Rio Grande";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36279972211632,-22.94714986648474,0']"
"";"Restalrante do Raul";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36187918118132,-22.94832480673802,0']"
"";"Padaria<br>Paes, doces, salgados com bom preço .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36230020009339,-22.94922599486366,0']"
"";"Sacolão 2<br>Vende frutas, legumes e verduras";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36208066017505,-22.94851066670048,0']"
"";"Loja de materias de construção<br>Vende area, pedra, tijolo e etc.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.3640488063143,-22.94782064287194,0']"
"";"Birosca<br>Barzinho onde vende bebidas porem tambem vende balas,doc<br>es e etc";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36379711618906,-22.94794670991658,0']"
"";"Taxi<br>Rua pricipal onde passa taxi atualmente";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36087644226204,-22.94714619043966,0']"
"";"Onibus<br>Rua principal onde passa varias linhas de onibus:701, 690, 266, 268, 456, 600 e etc";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36003250303781,-22.94788057693569,0']"
"";"Posto de Combustivel<br>Posto em esquina de ruas grandes.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36448323573084,-22.94509192002618,0']"
"";"Igreja Anglicana<br>Igreja Anglicana onde funciona a COOPERFORTE que participa<br>do GAL";"Cidade de Deus - Mapa PCU";"point";"[u'-43.35901123799707,-22.95043214016681,0']"
"";"Igreja Catolica São jose<br>Igreja Catolica que sede o predio onde funciona a ASVI na rua <br>Israel";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36374895948804,-22.94821198844528,0']"
"";"Igreja Assembleia de Deus<br>Fica quase em frente a ASVI";"Cidade de Deus - Mapa PCU";"point";"[u'-43.36336108253097,-22.94805500517727,0']"
"GAL Vivendo e aprendendo";"Historico do Morro do Urubus<br>Morro do Urubus, esta localizado nos bairros de pilares, tomaz coelho,  piedade,abolição,engenho da rainha na zona norte, a origen do nome do morro do urubu, dizem que antigamente existia criação de cabra e cabritos, quando eles caiam de cima do morro viravan comda de urubus .";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30381902109914,-22.87650153616219,0']"
"C. E.l Maranhão";"Antende todos as crianças e adultos das comunidade.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.29748754852212,-22.87392978916209,0']"
"E. M.l Suecia";"Atende todas as crianças da comunidade e adultos a noite";"Cidade de Deus - Mapa PCU";"point";"[u'-43.29921129503424,-22.87518940456345,0']"
"E. M.l Souza da Silveira";"Rua Mara";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31514785960253,-22.88078141575419,0']"
"Escola Municipal";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31498755937071,-22.87774298268193,0']"
"E. M.l Frei Leopoldo";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31466479465885,-22.87435901030032,0']"
"E. M. Jaime Costa";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31463924236913,-22.87412408470238,0']"
"E. M. França";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31428032712067,-22.88011117825412,0']"
"Posto de Atendimento Medico";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31263803958401,-22.87284215592511,0']"
"Pouso Comunitario";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30226041021591,-22.87363782023389,0']"
"Instituto de Peso e Medida";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31360739701194,-22.88059610722791,0']"
"Sanatorio";"Instituição que abriga deficientes mental";"Cidade de Deus - Mapa PCU";"point";"[u'-43.3062339748694,-22.88072260815106,0']"
"";"Clube dos Bancarios<br><br>Condominios  do Bancarios";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31059426910546,-22.8734803662449,0']"
"";"Campo de Futebol";"Cidade de Deus - Mapa PCU";"point";"[u'-43.31167242023953,-22.87268477560271,0']"
"";"Praça";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30370170583925,-22.87527063403423,0']"
"";"Igreja Catolica";"Cidade de Deus - Mapa PCU";"point";"[u'-43.29980256692928,-22.87526295015276,0']"
"";"Igreja Catolica da Santa Cruz";"Cidade de Deus - Mapa PCU";"point";"[u'-43.30592334127444,-22.88051937319285,0']"
"Transformando pelo Esporte";"Vila São Pedro- É uma comunidade situada em Bonsucesso entre a Rua Uranos e a Av. dos Democáticos tem como referência a saída 7 da linha amarela,é uma comunidade onde não há muitos recursos ou projetos desenvolvidos para trazer benefícios aos jovens,crianças e idosos,pouca iluminação e caso de abandono por conta do governo e representates do mesmo, é uma comunidade amigável (passifica) onde não há muitos conflitos por parte do tráfico por ser uma favela pequena.<br>Somos carentes de locais para diversão tais como: Lonas culturais,Pracinhas,rádios comunitárias,locais seguros para momentos de lazer etc...<br><br>► IASESPE é uma instituição não governamental sem ajuda religiosa,filantrófica ou politico-partidária, onde por meio de palestras e projetos procura atender as necessidades mais próximas das pessoas que residem na Vila são Pedro e adjacências.Recentemente trqabalho com reforços escolar,trabalhos artesanais,projeto 2º tempo,palestras sobre TB HIV DST's e AIDS, distribuição de preservativos <br>O seu trabalho comunitário abrange a Vila São pedro,um pedaço da comunidade CAH e a comunidade de Manguinhos <br><br>►IASESPE-instituto de ação social Esporte e Educação<br>►Centros espíritas<br>►Grupo de mães<br>►Grupo teatral<br>►Grupo de jovens<br>►Igreja Pentecostal";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25505565649169,-22.87052388052904,0']"
"Escola Nossa Senhora de Bonsucesso";"Localizado em Bonsucesso a Escola Nossa Senhora do Bonsucesso, nos seus 71 anos de existência, é uma tradicional instituição de ensino da zona da Leopoldina.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25767906129899,-22.86941247766479,0']"
"Colégio Linear";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25558591913781,-22.86972114076762,0']"
"Jardim Escola Natureza Encantada";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2558266251095,-22.86859808249154,0']"
"E. M. D.João VI";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2631512128171,-22.87305719360925,0']"
"E. M. Orozimbo Nonato";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.26276742276011,-22.87295189439747,0']"
"P. S. da  FIOCRUZ";"é o local onde as famílias da comunidade se tratam onde há PSF atendimentos psicológicos acompanhamentos nutricionais etc...";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25009952425275,-22.87813442541383,0']"
"";"21ª DP";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25816944444444,-22.87280555555556,0']"
"Ass. Mor. da Vila São Pedro";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25615930448488,-22.87152175162986,0']"
"";"Ministério Mão no Arado";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25449781609676,-22.87114886618696,0']"
"";"Lan house do RUY<br>Locais de lazer para crianças e jovens e adultos que não tem onde acessar a internet e pelos jogos online";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25576080076064,-22.87130864555169,0']"
"";"Pracinha da Vila São Pedro<br>Pracinha onde há pouca luminosidade e grande descaso,mais os jobvens o usam pra se encontrar,conversar e por o papo em dia!";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25672002963846,-22.87132714361387,0']"
"";"Pracinha da Vila São Pedro";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25672002963846,-22.87132714361387,0']"
"";"Quadra do Esperança";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2530065163642,-22.87646199649634,0']"
"";"QUADRA CAH";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25761802293015,-22.87198901900383,0']"
"";"Quadra da Santa Mariana";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25915065341862,-22.86949006159511,0']"
"IASESPE";"►Instituto de Ação Social Esporte e Educação";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2548649000696,-22.87091528558836,0']"
"";"PRAÇA DO REDONDO";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25591127754034,-22.86951080824148,0']"
"";"Moto Táxi<br>Local onde jovens trabalham e tiram de lá seus sustentos.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25414772225814,-22.87148955065718,0']"
"";"mercadinho do William";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25570532877941,-22.87021345294626,0']"
"";"padaria do PASTOR";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25490763706399,-22.87142394452034,0']"
"";"L & L Lanches ( dona Luiza)<br>LOCAIS ONDE OS JOVENS VÃO PARA COMPRAR LANCHES E CONVERSAR";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2543087687924,-22.87133456278035,0']"
"";"Dom pizza<br>PIZZARIA";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25550140273751,-22.87077831353173,0']"
"";"Bob's TRAILLER";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25815424406339,-22.87197698023204,0']"
"";"LANCHONETE DO ZÉ<br>Locais onde os jovens costumam comer salgado pelo preço baixo";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25542688601303,-22.87129664049095,0']"
"";"Oficina Tonicar Pintura";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25526373313902,-22.87015492648572,0']"
"";"Mecânica do Sandro<br>LOCAIS ONDE JOVENS QUE TEM MOTOS E CARROS VÃO PARA CONSERTAR SEUS VEÍCULOS,POIS SÃO ATENDIDOS POR JOVENS COMO ELES E PELA AMIZADE";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25255282277377,-22.87582760276288,0']"
"";"Animais do MGH<br>Animais como porcos galinhas e cavalos ficam a céu aberto trazendo riscos e podendo trazer também doenças para as pessoas que residem em manguinhos e adjacencias.<br>entre esses animais estão mosquitos ratos entre outros";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25352397400157,-22.87562993056796,0']"
"";"Nossa Senhora de Bonsucesso";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25748765619922,-22.86968313132405,0']"
"";"Igreja Universal";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25577385581929,-22.86802849083451,0']"
"";"Maçonaria";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25524687802595,-22.87101312441036,0']"
"";"Estação de bonsucesso";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25530941462992,-22.86787343884503,0']"
"";"ponto de onibus";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25828784330352,-22.87067806635427,0']"
"";"Ponto Final 917";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25602134911168,-22.86860282545932,0']"
"";"Ponto Final 908";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25607041267034,-22.86810535626479,0']"
"";"Ponto final 920";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25637770467495,-22.86783933681596,0']"
"";"ponto final 728";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25661056583223,-22.86777207889728,0']"
"";"ponto final 918";"Cidade de Deus - Mapa PCU";"point";"[u'-43.256929615312,-22.86770269925802,0']"
"";"Garageml da linha 630,680 VIAÇÃO PENHA";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25719900901108,-22.86817323799328,0']"
"";"moradores de rua";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25367584374678,-22.87228554374037,0']"
"";"Moradores de rua";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25705951910112,-22.871384405502,0']"
"";"moradores de rua";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25813552676584,-22.8732327450927,0']"
"Abrigo Cristo Redentor";"Local onde é acolhido jovens crianças e idosos,onde tem acompanhamentos psicológicos e atendimentos médicos.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25578728989727,-22.87465395411794,0']"
"";"LiXÃO<br>Locais onde os moradores porquinhos deixam seus restos e a Comlurb só passa de vez em quanto";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25469481198552,-22.87040643037455,0']"
"";"LIXÃO<br>Locais onde os moradores porquinhos deixam seus restos e a Comlurb só passa de vez em quanto";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25315377686849,-22.87540833151557,0']"
"";"LIXÃO";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25590475037373,-22.87073649639163,0']"
"";"LIXÃO";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25540432718928,-22.86934117881194,0']"
"";"CASA ABANDONADA COM LIXO";"Cidade de Deus - Mapa PCU";"point";"[u'-43.25821654389755,-22.87017973405286,0']"
"";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2550241902948,-22.87092713761265,0']"
"Gal Redes Rotas Maré";"Digaí Mare<br>Observatório de Favelas <br>Creche Comunitaria Nova Holanda<br>Redes de Desenvolvimento da Maré<br>CRAS Nelson Mandela<br>RPE Rede de Protecao ao Educando<br>Instituto Vida Real";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24480580340347,-22.85436621644475,0']"
"E. E. Prof. Cesar Perneta";"Escola Estudal com Ensino Fundamental e Medio funcionando em três turnos - manha, tarde e noite";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24194141280724,-22.84871007723186,0']"
"Creche Com. Nova Holanda";"Entidade comunitária integrante do GAL Redes Rotas, atua no desenvolvimento de ações de promoção e garantia de direitos para crianças";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24193431258511,-22.85435909831777,0']"
"E. M. Nova Holanda";"Escola que oferece ensino do 1º segmento do ensino fundamental";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24268085392576,-22.85454114100214,0']"
"CIEP Hélio Smidt";"Escola municipal com ensino fundamental em horário diurno";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24028798988314,-22.85256766711346,0']"
"Creche Com. Sagrado Coração de Maria";"Instituição comunitária que desenvolve educação infantil";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24326654892091,-22.85769281279502,0']"
"CIEP Samora Machel";"Escola Municipal de Ensino Fundamental";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24125914537857,-22.85780306653219,0']"
"CIEP Elis Regina";"Escola Municipal de Ensino Fundamental com turno diurno";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24054232693627,-22.85791962556761,0']"
"P. S. Nova Holanda";"Atendimento Básico de Saúde";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24063883664966,-22.85512337480229,0']"
"P. S. Hélio Smidt";"Posto de atenção básica dentro da Escola Municipal de mesmo nome";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24063945872509,-22.85261514116828,0']"
"P. S. Samora Machel";"Posto de Atenção Básica";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24133854512395,-22.85756957706053,0']"
"P. S. Elias Regina";"Posto de Atenção Básica";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24098730980185,-22.85807946138785,0']"
"22º Batalhão de Polícia";"22º Batalhão de Policia<br>Corporação responsável direta pela segurança da população da Maré , e das vias expressas Linha Vermelha e Amarela e Avenida Brasil e adjacencias";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24011900956091,-22.85364236627488,0']"
"Redes de Desen. da Maré";"Entidade integrante do GAL Redes Rotas que desenvolve projetos articulados numa pespectiva de efetivar mudanças estrturantes para o Bairro Maré. Suas ações se dão  em torno da proposta de Desenvolvimento Local e tem no seu bojo a educação, a comunicação, a cultura, o meio ambiente, trabalho e renda.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24223053015501,-22.85432340939191,0']"
"Luta pela Paz";"Entidade do GAL Redes Rotas que desenvolve ações de esporte articuladas com a questão da educação";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24029916882164,-22.85472940163029,0']"
"Observatorio de Favelas";"Observatorio de Favelas do Rio de Janeiro<br>Entidade integrante do GAL Redes Rotas, desenvolve ações e pesquisa no campo da politicas públicas - favela e da cidade";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24681376918571,-22.85589107080734,0']"
"Instituto Vida Real";"Entidade integrante do GAL Redes Rotas, desenvolve projetos de complementação escolar e garantia de direitos para crianças, adolescentes e jovens";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24596130118144,-22.85594593201959,0']"
"Digaí Maré";"Entidade integrante do GAL Redes Rotas, atua com trabalhos de grupos de apoio psicológico.";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24145262505574,-22.85402290328105,0']"
"Conexão G";"Integrante do GAL Redes Rotas, desenvolve ações dirigidas a questões que envolvem";"Cidade de Deus - Mapa PCU";"point";"[u'-43.24241089592839,-22.85450277990344,0']"
"Vila Olimpica da Maré";"Entidade Integrante do GAL Redes Rotas, desenvolve ações de esporte e lazer dirigidas aos diferentes públicos e faixas etárias da Maré";"Cidade de Deus - Mapa PCU";"point";"[u'-43.23925409834407,-22.85641733293248,0']"
"GAL Rede Rotas";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.2421201710984,-22.85455398375605,0']"
"Gal Juventude Feliz";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18769974391722,-22.79461194452679,0']"
"P. S. Madre Tereza Calcutá";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.1857803490602,-22.78670136027814,0']"
"Clínica Santa Maria Madalena";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18984411911379,-22.79803123124307,0']"
"Creche Maria Arminda Farabela";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18626679308058,-22.78622330646576,0']"
"Colégio Tauá";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18872025638415,-22.79789010999936,0']"
"Creche Cora Coralina";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.1910311204427,-22.79666290874063,0']"
"Centro Cum. Estrelinha do Futuro";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.19021390142948,-22.79656218886077,0']"
"Ass. de Moradores";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18847469067848,-22.79318901601365,0']"
"Ass. de Mul. da Praia da Rosa";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18873790919972,-22.79286598206387,0']"
"Cismana";"centro de integração social cutural maria nazare";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18898496689246,-22.79316472899787,0']"
"Estação de Tratamento";"ETIG";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18752749391987,-22.79440206492991,0']"
"Estaleiro EISA";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18792104504379,-22.78539819411853,0']"
"Light";"";"Cidade de Deus - Mapa PCU";"point";"[u'-43.18953043298974,-22.79678990442721,0']"
