importar?;polígono?;Comunidade;name;description;folder;type;geometry
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;EM Mal. Esperidião Rosas;Unidade Escolar: E/SUBE/CRE(01.01.008) - Escola Municipal Marechal Esperidião Rosas - 11229 <br>Diretor: MARIA CRISTINA BRANDAO NEGREIROS CARAMURU<br> <br>Endereço: Rua Duque De Caxias 5  <br>Bairro: Caju <br>Cep: 20931-590 <br>Telefone: 3860-1042<br>2580-6531<br> <br>E-mail: emmrosas@rio.rj.gov.br <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 13 <br>Turnos: 1º. Turno<br>2º. Turno<br> <br>Série Quantidade de Alunos <br>Ciclo de Formação - Período Final 130 <br>Ciclo de Formação - Período Inicial 118 <br>Ciclo de Formação - Período Intermediário 121 <br>Ed. Infantil - Pré-Escola 207 <br>4º Ano 79 <br>5º Ano;Cidade de Deus - Mapa PCU;point;[u'-43.21836277123073,-22.88009641836499,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;EM Mal. Mascarenhas de Moraes;Unidade Escolar: E/SUBE/CRE(01.01.007) - Escola Municipal Marechal Mascarenhas de Moraes - 11228 <br>Diretor:  <br>Endereço: Rua Carlos Seidl 20  <br>Bairro: Caju <br>Cep: 20931-000 <br>Telefone: 2580-3381<br> <br>E-mail: emmmoraes@rio.rj.gov.br <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 22 <br>Turnos: 1º. Turno<br>2º. Turno<br> <br>Série Quantidade de Alunos <br>4º Ano 77 <br>5º Ano 74 <br>6º Ano 178 <br>7º Ano 155 <br>8º Ano 158 <br>9º Ano 147;Cidade de Deus - Mapa PCU;point;[u'-43.21649643808681,-22.87711483141913,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Ciep Henfil;Diretor: NILCEA DE AZEVEDO SIQUEIRA<br> <br>Endereço: Rua Carlos Seidl  S/N.º  <br>Bairro: Caju <br>Cep: 20931-000 <br>Telefone: 2580-7957<br>3860-1095<br> <br>E-mail: ciephenfil@rio.rj.gov.br <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 35 <br>Turnos: Horário Integral<br>PEJ<br>1º. Turno<br>3º Turno<br> <br>Série Quantidade de Alunos <br>Ciclo de Formação - Período Final 107 <br>Ciclo de Formação - Período Inicial 122 <br>Ciclo de Formação - Período Intermediário 113 <br>Classe Especial 7 <br>Ed. Infantil - Pré-Escola 236 <br>PEJ 1 Bloco 1 60 <br>PEJ 1 Bloco 2 92 <br>PEJ 2 Bloco 1 69 <br>PEJ 2 Bloco 2 80 <br>4º Ano 58;Cidade de Deus - Mapa PCU;point;[u'-43.22514168323147,-22.88095686818772,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Classe Coop.Prof. Walter Fraenkel;Prof. Walter Carlos de Magalhães Fraenkel<br>Unidade Escolar: E/SUBE/CRE(01.01.009) - Classe em Cooperação Professor Walter Carlos de Magalhães Fraenkel - 11230 <br>Diretor: FATIMA DE SOUZA BARROCAS ALMEIDA<br> <br>Endereço: Rua Carlos Seidl 1141  <br>Bairro: Caju <br>Cep: 20931-001 <br>Telefone: 3860-1079<br>2580-9835<br> <br>E-mail: ccpfraenkel@rio.rj.gov.br <br>   <br>Característica: Horário Parcial com 1 turno <br>Quantidade de Salas: 9 <br>Turnos: 1º. Turno<br>2º. Turno<br> <br>Série Quantidade de Alunos <br>4º Ano 39 <br>5º Ano 116 <br>6º Ano 121 <br>7º Ano 126 <br>8º Ano 125 <br>9º Ano 119;Cidade de Deus - Mapa PCU;point;[u'-43.22294020500713,-22.87832746397779,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Hospital Estadual Anchieta;;Cidade de Deus - Mapa PCU;point;[u'-43.22268018813671,-22.87582833964806,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Hosp. Est. S.Sebastião;;Cidade de Deus - Mapa PCU;point;[u'-43.21935696745151,-22.87641842249832,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Gr. Mulh.da Quinta Caju;Iraides;Cidade de Deus - Mapa PCU;point;[u'-43.21268252012349,-22.87526289221006,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA  S.Sebastião;;Cidade de Deus - Mapa PCU;point;[u'-43.22330032053218,-22.87976856666222,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Pq. Boa Esperança;;Cidade de Deus - Mapa PCU;point;[u'-43.22793312406726,-22.88141217423122,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Na. Sra. da Penha;;Cidade de Deus - Mapa PCU;point;[u'-43.21647760718243,-22.87607173886639,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Ladeira dos Funcionarios;;Cidade de Deus - Mapa PCU;point;[u'-43.22493913060318,-22.87967061910857,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Pq. Conquista;;Cidade de Deus - Mapa PCU;point;[u'-43.22654311160329,-22.87760815362347,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Clemente Ferreira;;Cidade de Deus - Mapa PCU;point;[u'-43.22258822075897,-22.87591678017352,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;SOS;E UM SERVIÇO DE OBRAS SOCIAS, COM CURSOS PROFISSIONALIZANTES, SENDO UM DOS MAIS ANTIGOS DO BAIRRO,SENDO QUE DENTRO DO ESPAÇO ENCONTRA-SE  O GOL DE LETRA(ONG) PRINCIPAL ARTICULADOR JUNTO AO GAL  REPÚBLICA IMPERIAL DO CAJU,  TEM CURSOS PROFISSIONALIZANTES, PARA  ADOLECENTES ONDE EXISTE UMA BIBLIOTECA MUITO BEM MONTADA,E  TAMBEM UMA ESCOLA MUNICIPAL, PROF. WALTER FRANKEL, DENTRO DESSE ESPAÇO.;Cidade de Deus - Mapa PCU;point;[u'-43.22422969527027,-22.87825296147054,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Parque Alegria;;Cidade de Deus - Mapa PCU;point;[u'-43.23094210091777,-22.88530757297813,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Quinta do Caju;;Cidade de Deus - Mapa PCU;point;[u'-43.21291103128259,-22.87522461158296,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA V. do João;;Cidade de Deus - Mapa PCU;point;[u'-43.24016687916229,-22.87337040110792,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA V. do Pinheiros;;Cidade de Deus - Mapa PCU;point;[u'-43.23756146030563,-22.86938135904063,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;AMA Conjto. Esperança;;Cidade de Deus - Mapa PCU;point;[u'-43.23896105758242,-22.87670154118323,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Grupo Jovem Quadrilhão;Quadrilha Bem Querer<br>Grupos de Futebol;Cidade de Deus - Mapa PCU;point;[u'-43.22575994805083,-22.88240843203146,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;empresa de ônibus 10001;encontra -se localizada numa grande área do bairro , na rua carlos seidl;Cidade de Deus - Mapa PCU;point;[u'-43.22575789619811,-22.87619022998551,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;PARQUE DE ELETRONICA DA AERONAUTICA;MAIOR PARQUE DE ELETRONICA DO BRASIL ONDE  SE FAZ O CONTROLE DE VÔOS .;Cidade de Deus - Mapa PCU;point;[u'-43.21492571862172,-22.87453580526256,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;INPH( istituto nacional de pesquisas hidroviarias;possui o maior láboratorio de estudos de agúas do  mar e dos rios do brasil. medido as variações das mares. e muito antigo no bairro, estar vinculado   ao ministério dos transporte;Cidade de Deus - Mapa PCU;point;[u'-43.2130518751807,-22.87573663816121,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Fund. Gol de Letra;;Cidade de Deus - Mapa PCU;point;[u'-43.22347998450351,-22.87876149455211,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;HOSPITAL NOSSA SENHORA DO SOCORRO;HOSPITAL PERTENCENTE A SANTA CASA DE MISERICORDIA CENTENÁRIO , QUE ALGUNS ANOS TRANSFOMOU-SE DE HOSPITAL PARA ASILO DE IDOSOS POBRES PARA HOMENS E MULHERES .;Cidade de Deus - Mapa PCU;point;[u'-43.21817318414946,-22.88184843010918,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;DPO;DPO;Cidade de Deus - Mapa PCU;point;[u'-43.21635829674887,-22.87699374028767,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Museu da Comlurb (DESATIVADO);Casa de Banhos D. João VI <br>FOI TRANSFORMADA EM MUSEU MANTIDO PELA COLURB, QUE ATUALMENTE ENCERROU SUAS  ATIVIDADES SEM COMUNICAR AOS MORADORES, DEIXANDO A COMUNIDADE SEM O SEU E UNICO   CORREDOR CULTURAL.<br>MAIS UMA VEZ O BAIRRO DO CAJU FICOU POBRE DE CULTURA, NÃO POSSUIMOS NO BAIRRO NEM UMA ARÉA DE LAZER.<br>REALMENTE O POVO DO RIO DE JANEIRO SÓ CONHECE O CAJU QUANDO VAI ENTERRAR SEUS MORTOS. SÓ QUE INFELISMENTE O CAJU , COMEÇA COM A MORTE MAIS ATRÁS TEM  VIDA QUE SÃO OS MORADORES PORQUE AS AUTORIDADES NÃO FAZEM NADA E RECOLHE OS IMPOSTOS DAS EMPRESAS DO BAIRRO QUE ESTRGA COMPLETAMENTE NOSSO ESPAÇO FISICO E ENCHEM SEUS COFRES DE CIFRAS;Cidade de Deus - Mapa PCU;point;[u'-43.21146208653233,-22.87882973155079,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Arsenal de Guerra;;Cidade de Deus - Mapa PCU;point;[u'-43.21693489659356,-22.88052026921189,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Sula Bar;Sula Bar;Cidade de Deus - Mapa PCU;point;[u'-43.22787016750128,-22.8818803443913,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;ASILO SÃO LUIZ PARA VELHIÇE;Casa de Repouso<br>SITUADO NO BAIRRO DO CAJU,  HA MAIS DE 100 ANOS NA RUA GENERAL GURJÃO, ACOLHE CENTENAS DE VELHINHOS PAGANDO MUITO BEM, ANTIGAMENTE ERA DEDICADO  AOS POBRES  VELHOS E HOJE EM DIA SÓ PARA PESSOAS DE MUITAS POSSES, LUGAR LINDISSIMO, QUE NEM PARECE QUE ESTAMOS NO CAJU.;Cidade de Deus - Mapa PCU;point;[u'-43.21442020716206,-22.87809171211788,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Igreja São Pedro;Igreja São Pedro;Cidade de Deus - Mapa PCU;point;[u'-43.21274732788591,-22.87307077141764,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Cruzada São Pedro;Cruzada São Pedro;Cidade de Deus - Mapa PCU;point;[u'-43.22139822985555,-22.8757056931,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Refinaria de Manguinhos;Refinaria de Manguinhos - - Grupo Peixoto de Castro;Cidade de Deus - Mapa PCU;point;[u'-43.23534382334152,-22.87880041040133,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;XXXº RA -Prefeitura;Ong. Geração Semelhante;Cidade de Deus - Mapa PCU;point;[u'-43.24339823019007,-22.858785678534,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Empresa de Onibus Real;Empresa de Onibus Real;Cidade de Deus - Mapa PCU;point;[u'-43.22575638332505,-22.88276242250677,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Gideão Roupas;Gideão Roupas;Cidade de Deus - Mapa PCU;point;[u'-43.22845940703569,-22.88338097057222,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Igreja Santo Andre;Igreja Santo Andre;Cidade de Deus - Mapa PCU;point;[u'-43.22760235174544,-22.88565159785556,0']
R;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;Radio Cristal;Radio Cristal;Cidade de Deus - Mapa PCU;point;[u'-43.22806510521499,-22.88129542627154,0']
não  ;;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;NHJ Transportadora;NHJ Transportadora;Cidade de Deus - Mapa PCU;point;[u'-43.24381864408829,-22.87135753204766,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;psf fernando braga lopes;O PSF FERNANDO ANTONIO BRAGA LOPES ERA O  ANTIGO POSTO DE SÁUDE, QUE TINHA O MESMO NOME E FOI TRANSFORMADO EM PSF .<br>COM ESSA MUDANÇA PIOROU O ATENDIMENTO A POPULAÇÃO DO POVO DO CAJU,NÃO TENDO MEDICOS PARA ATENDER A POPULAÇÃO, QUE ESTAR EM TORNO DE 30 MIL PESSOAS, PRECISANDO DE RECUSOS HUMANOS.;Cidade de Deus - Mapa PCU;point;[u'-43.22436120771088,-22.87919261890184,0']
O;sim;morro-quinta-do-caju, parque-conquista, favela-do-sao-sebastiao, parque-boa-esperanca;VILA DO MEXICANO(TORTO);DENTRO DO PARQUE ALEGRIA FOI CRIADA UMA NOVA COMUNIDADE   CHAMADA VILA  DO MEXICANO CONHECIDA POPULARMENTE COMO TORTO.<br>FOI CRIADA UMA CRECHE PELA PREFEITURA RECENTEMENTE<br>QUE SE CHAMA  EDY.  <br>LOCAL  ONDE FOI DOADO O LEGO ATRÁVES DO GAL DA REPUBLICA IMPERIAL,ONDE UMA RECREADORA FOI CAPACITADA PARA BRINCAR COM AS CRIANÇAS,DOAÇÃO FEITA DA DINAMARCA.;Cidade de Deus - Mapa PCU;point;[u'-43.23124723569112,-22.88440797470654,0']
não (E);;jardim-redentor;Cine pipoca;;Cidade de Deus - Mapa PCU;point;[u'-43.36582383065153,-22.74305226192008,0']
não (E);;jardim-redentor;C.E Castro Alves;Encontro Educativo;Cidade de Deus - Mapa PCU;point;[u'-43.38477613325626,-22.74837696378576,0']
não (E);;jardim-redentor;Abordagem residencial;Abordagem residencial;Cidade de Deus - Mapa PCU;point;[u'-43.35828030829761,-22.75300701028609,0']
O;sim;jardim-redentor;Associacao Gafroba;Apresentação do projeto;Cidade de Deus - Mapa PCU;point;[u'-43.36736398564177,-22.75118304445515,0']
O;sim;jardim-redentor;Ass.de Moradores do Redentor;;Cidade de Deus - Mapa PCU;point;[u'-43.36747172513979,-22.7574617991457,0']
O;sim;jardim-redentor;Centro Social Força e Esperança;;Cidade de Deus - Mapa PCU;point;[u'-43.3628872463969,-22.7600450412405,0']
O;sim;jardim-redentor;Instituto Resgatando Vidas;;Cidade de Deus - Mapa PCU;point;[u'-43.36262241549791,-22.75800370430589,0']
não (E);;jardim-redentor;Abordagem Familiar;Abordagem Familiar;Cidade de Deus - Mapa PCU;point;[u'-43.36526288565737,-22.74353082016998,0']
não (E);;jardim-redentor;Mascate educativo - Julho;Mascate educativo - Julho;Cidade de Deus - Mapa PCU;point;[u'-43.36940313836686,-22.75313567018263,0']
R;;jardim-redentor;Moto taxi;Mascate Educativo moto taxi;Cidade de Deus - Mapa PCU;point;[u'-43.36225268170131,-22.75872685628981,0']
O;sim;jardim-redentor;Escola Ernesto Che Guevara;;Cidade de Deus - Mapa PCU;point;[u'-43.36513621670454,-22.75861500544374,0']
O;sim;jardim-redentor;Colégio Municipal Julieta;encontro educativo;Cidade de Deus - Mapa PCU;point;[u'-43.3648570216673,-22.75675894019647,0']
não  ;;jardim-redentor;Comunidade das Pedrinhas;;Cidade de Deus - Mapa PCU;point;[u'-43.36532422796829,-22.74411387817751,0']
não  ;;jardim-redentor;Parceiro Político;;Cidade de Deus - Mapa PCU;point;[u'-43.368635925001,-22.75215610895581,0']
R;sim;jardim-redentor;Campo do Costa Junior;;Cidade de Deus - Mapa PCU;point;[u'-43.36916639015722,-22.75282249511356,0']
R;sim;jardim-redentor;Campo;Campo;Cidade de Deus - Mapa PCU;point;[u'-43.36625656505154,-22.75082052003985,0']
R;sim;jardim-redentor;Campo do Vail;;Cidade de Deus - Mapa PCU;point;[u'-43.36613136483128,-22.74259323278344,0']
R;sim;jardim-redentor;Praça Redentor;;Cidade de Deus - Mapa PCU;point;[u'-43.37088162172606,-22.75506433000966,0']
R;sim;jardim-redentor;Praça Poli esportiva;;Cidade de Deus - Mapa PCU;point;[u'-43.36217007502111,-22.75608397975,0']
não (E);;jardim-redentor;aplicação de questionário;aplicação de questionário;Cidade de Deus - Mapa PCU;point;[u'-43.36584337178017,-22.7440971392528,0']
não (E);;jardim-redentor;Festa Junina;evento comunitário de festa junina;Cidade de Deus - Mapa PCU;point;[u'-43.36869146902338,-22.75235221735462,0']
não (E);;jardim-redentor;Mascate educativo;Mascate educativo;Cidade de Deus - Mapa PCU;point;[u'-43.36400003069811,-22.75695724217473,0']
não (E);;jardim-redentor;mascate educativo;mascate educativo;Cidade de Deus - Mapa PCU;point;[u'-43.36525082945958,-22.76020131580243,0']
não (E);;jardim-redentor;mascate esducativo;mascate esducativo;Cidade de Deus - Mapa PCU;point;[u'-43.36229530648721,-22.76007592945793,0']
O;sim;jardim-redentor;E.M. Márcia Brito;;Cidade de Deus - Mapa PCU;point;[u'-43.38082814540362,-22.75481546419442,0']
O;sim;jacutinga;Ass. de Moradores da Jacutinga;;Cidade de Deus - Mapa PCU;point;[u'-43.41588633248354,-22.77104672472292,0']
R;sim;jacutinga;Praça Elizabet Paixão;CAMELO EDUCATIVO PRAÇA ELIZABET PAIXÃO;Cidade de Deus - Mapa PCU;point;[u'-43.42952371799768,-22.78272004092882,0']
não (E);;jacutinga;Camelô Educativo;CAMELO EDUCATIVO;Cidade de Deus - Mapa PCU;point;[u'-43.4146351530097,-22.77768460769301,0']
não (E);;jacutinga;Ana Peixoto;ABORDAGEM NAS RESIDENCIAS ANA PEIXOTO;Cidade de Deus - Mapa PCU;point;[u'-43.41641104313075,-22.77387293467711,0']
não (E);;jacutinga;Trav Olivia de Brito;ABORDAGEM NAS RESIDENCIAS TRAV OLIVIA DE BRITO;Cidade de Deus - Mapa PCU;point;[u'-43.41887206792976,-22.77321779439373,0']
não (E);;jacutinga;Abordagems residenciais;ABORDAGENS RESIDENCIAIS;Cidade de Deus - Mapa PCU;point;[u'-43.41823415979497,-22.77329347479995,0']
não (E);;jacutinga;Roda de conversa;RODA DE CONVERSA;Cidade de Deus - Mapa PCU;point;[u'-43.41745826473932,-22.77273425957473,0']
não (E);;jacutinga;Sensibilização com motoristas de Kombi;;Cidade de Deus - Mapa PCU;point;[u'-43.41631522457872,-22.76884352385965,0']
não (E);;jacutinga;Roda de conversa;RODA DE CONVERSAS NA COMUNIDADE DO FUSÃO;Cidade de Deus - Mapa PCU;point;[u'-43.41692337481334,-22.77054875686096,0']
O;sim;jacutinga;PSF Tamaru;;Cidade de Deus - Mapa PCU;point;[u'-43.41806609199832,-22.76935495340133,0']
O;sim;jacutinga;U.M.M.B;;Cidade de Deus - Mapa PCU;point;[u'-43.42047353156639,-22.77194378705786,0']
O;sim;jacutinga;CMS Paraná;CMS PARANÁ COOD TB/DST/AIDS(PARCEIRO);Cidade de Deus - Mapa PCU;point;[u'-43.43293218090567,-22.77777419571437,0']
O;sim;jacutinga;CEU;(ODONTO PARCEIRO);Cidade de Deus - Mapa PCU;point;[u'-43.42856275779521,-22.78269264867779,0']
não  ;;jacutinga;Delegacia de Mulheres;;Cidade de Deus - Mapa PCU;point;[u'-43.43049172601465,-22.78070417857055,0']
não  ;;jacutinga;Secretaria de Educação;;Cidade de Deus - Mapa PCU;point;[u'-43.43177821894349,-22.77792156538661,0']
não  ;;jacutinga;Secretaria de Saúde;;Cidade de Deus - Mapa PCU;point;[u'-43.43524258170915,-22.78977720144819,0']
não  ;;jacutinga;Secretaria de Assistência Social;;Cidade de Deus - Mapa PCU;point;[u'-43.40696646495634,-22.77830163512952,0']
não  ;;jacutinga;Secretaria do Meio Ambiente;;Cidade de Deus - Mapa PCU;point;[u'-43.43244459937244,-22.78364974567837,0']
não  ;;jacutinga;J. B.;;Cidade de Deus - Mapa PCU;point;[u'-43.40213987768179,-22.77688669987229,0']
não  ;;jacutinga;CRAS;;Cidade de Deus - Mapa PCU;point;[u'-43.41911862211205,-22.77284550172463,0']
esclarecer;;jacutinga;Campo do Cruzeiro;Av. Antonio Borges,209 - Jacutinga, Mesquita - RJ, 26456-030, Brasil;Cidade de Deus - Mapa PCU;point;[u'-43.41729698677713,-22.7721258182581,0']
não  ;;jacutinga;Comunidade Evangélica;COMUNIDADE EVANGELICA DE JACUTINGA;Cidade de Deus - Mapa PCU;point;[u'-43.41706872992582,-22.77109733483485,0']
não  ;;jacutinga;Comunidade Evangélica;COMUNIDADE EVANGELICA;Cidade de Deus - Mapa PCU;point;[u'-43.42019080322118,-22.77597197314651,0']
não  ;;jacutinga;Comunidade Evangélica;COMUNIDADE EVANGELICA;Cidade de Deus - Mapa PCU;point;[u'-43.41986073087983,-22.7743983600404,0']
O;sim;jacutinga;Futura creche do Fusão;;Cidade de Deus - Mapa PCU;point;[u'-43.4171691759805,-22.77150414611445,0']
O;sim;parque-paulista;GTA - Grupo Tia Angélica;R. Tapinhoã, lote 02, quadra 151 - Parque Paulista, Duque de Caxias - RJ, 25261-200, Brasil<br><br>Gincana (apresentação das atividades 6,13,20 e 27 junho)<br>Ofina de reciclagem (3ª feira)<br>Oficinas de tabuleiro;Cidade de Deus - Mapa PCU;point;[u'-43.25519237392403,-22.65700141880216,0']
não  ;;parque-paulista;camelô Educativo;camelo educativo - mulheres;Cidade de Deus - Mapa PCU;point;[u'-43.25878910051656,-22.63885811572449,0']
não  ;;parque-paulista;camelô Educativo;camelo educativo;Cidade de Deus - Mapa PCU;point;[u'-43.25618777888589,-22.65692550877844,0']
O;sim;parque-paulista;G7;G7 assistencia comunitária;Cidade de Deus - Mapa PCU;point;[u'-43.25496123874923,-22.65051859816734,0']
O;sim;parque-paulista;Natividade;Natividade<br>instituição parceira;Cidade de Deus - Mapa PCU;point;[u'-43.25845811363477,-22.64542269224198,0']
R;;parque-paulista;Rádio comunitária;;Cidade de Deus - Mapa PCU;point;[u'-43.26660984045908,-22.63727460283195,0']
O;sim;parque-paulista;CIEP Henfil;;Cidade de Deus - Mapa PCU;point;[u'-43.25999708597443,-22.6489233149438,0']
O;sim;parque-paulista;C. M. Gama Borges;;Cidade de Deus - Mapa PCU;point;[u'-43.25822614316637,-22.64614833181198,0']
O;sim;parque-paulista;C. E. Padre Anchieta;palestra mulheres;Cidade de Deus - Mapa PCU;point;[u'-43.26568885771417,-22.63618079075507,0']
não (E);;parque-paulista;Atendimento a mulheres;;Cidade de Deus - Mapa PCU;point;[u'-43.25910451140375,-22.63857191253095,0']
não  ;;parque-paulista;igreja evangélica;igreja evangelica<br>igreja Metodista;Cidade de Deus - Mapa PCU;point;[u'-43.2572986361861,-22.65363901501891,0']
não  ;;parque-paulista;igreja católica  ;igreja catolica<br><br>igreja são francisco de assis;Cidade de Deus - Mapa PCU;point;[u'-43.26116843318923,-22.64731659626101,0']
não  ;;parque-paulista;centro religioso espirita;centro religioso espirita;Cidade de Deus - Mapa PCU;point;[u'-43.26120029539456,-22.6413981416215,0']
R;sim;parque-paulista;Posto de Saúde;parque equitativa;Cidade de Deus - Mapa PCU;point;[u'-43.26577383657682,-22.63528624957009,0']
R;sim;parque-paulista;Área de lazer;campo do Paulistano;Cidade de Deus - Mapa PCU;point;[u'-43.26378501998956,-22.64125436869935,0']
R;sim;parque-paulista;Praça Equitativa;área de atuação de camelo educativo;Cidade de Deus - Mapa PCU;point;[u'-43.26627436675215,-22.6357114030032,0']
R;sim;parque-paulista;Centro esportivo - Torneio de Futebol;Samucão;Cidade de Deus - Mapa PCU;point;[u'-43.26296652742374,-22.64128368113797,0']
R;sim;parque-paulista;Área de lazer;campo do botafoguinho;Cidade de Deus - Mapa PCU;point;[u'-43.25345319726274,-22.65565758773008,0']
esclarecer;;parque-paulista;Cidade do Parque Paulista;;Cidade de Deus - Mapa PCU;polys;[u'-43.27068496766923,-22.63819864840113,0', u'-43.26554521535567,-22.65243769328257,0', u'-43.25132300439264,-22.65963303775544,0', u'-43.24521532445031,-22.65566597877685,0', u'-43.24746544831525,-22.65206901522086,0', u'-43.24621984631003,-22.65088259894845,0', u'-43.25164314984739,-22.64291053354778,0', u'-43.25545946301788,-22.64139003422894,0', u'-43.25995760163967,-22.63289825571321,0', u'-43.27068496766923,-22.63819864840113,0']
não  ;;parque-paulista;mercado do André;;Cidade de Deus - Mapa PCU;point;[u'-43.25464451191731,-22.65270648884253,0']
não  ;;parque-paulista;mercado tradição;;Cidade de Deus - Mapa PCU;point;[u'-43.26096938875001,-22.64782606505955,0']
não  ;;parque-paulista;supermercado Celma;;Cidade de Deus - Mapa PCU;point;[u'-43.26482904795111,-22.63702774144024,0']
não  ;;parque-paulista;bar do Carlos Pedro;;Cidade de Deus - Mapa PCU;point;[u'-43.26108210535375,-22.64744721357905,0']
O;sim;mato-alto;Centro Apoio Social Mulheres;;Cidade de Deus - Mapa PCU;point;[u'-43.35427525149976,-22.90646963072481,0']
não  ;;mato-alto;Casa da Juliana;Camelô educativo casa da Juliana;Cidade de Deus - Mapa PCU;point;[u'-43.35251689634412,-22.90921317262877,0']
não (E);;mato-alto;Camelô e evento do Dia das Mães no Vale da Mata;;Cidade de Deus - Mapa PCU;point;[u'-43.35165759911433,-22.90796790557469,0']
O;sim;mato-alto;Creche Emilia Joana;Camelô na Creche;Cidade de Deus - Mapa PCU;point;[u'-43.3529536587878,-22.90749117939869,0']
não  ;;mato-alto;Igreja Batista;Camelô na Igreja Batista;Cidade de Deus - Mapa PCU;point;[u'-43.35447812868751,-22.90738101523422,0']
O;sim;mato-alto;CIEP;Camelô no CIEP;Cidade de Deus - Mapa PCU;point;[u'-43.35747937969821,-22.90609639346846,0']
esclarecer;;mato-alto;Grota;;Cidade de Deus - Mapa PCU;point;[u'-43.35223308228942,-22.90693988756013,0']
esclarecer;;mato-alto;Bela Vista;;Cidade de Deus - Mapa PCU;point;[u'-43.35480995578749,-22.90950777598727,0']
